overall_rating,potential,wage,release_clause_euro,club_rating,reactions,composure,LS,ST,RS,LW,LF,CF,RF,RW,LAM,CAM,RAM,LM,LCM,CM,RCM,RM,value
64,65,0,0.003944201,63,61,57,64,64,64,67,66,66,66,67,65,65,65,65,58,58,58,65,525000
72,72,0.022026432,0.015951989,73,65,74,48,48,48,44,46,46,46,44,46,46,46,45,50,50,50,45,1800000
71,78,0.019823789,0.035472779,70,64,67,71,71,71,71,72,72,72,71,69,69,69,70,60,60,60,70,3400000
72,72,0.070484581,0.021457853,72,68,57,65,65,65,66,66,66,66,66,65,65,65,67,67,67,67,67,2200000
64,71,0,0.003743987,64,60,49,55,55,55,59,57,57,57,59,57,57,57,61,58,58,58,61,525000
59,73,0,0.00409436,63,50,62,60,60,60,58,59,59,59,58,57,57,57,55,48,48,48,55,350000
67,76,0.013215859,0.013449324,77,47,60,66,66,66,69,68,68,68,69,68,68,68,68,60,60,60,68,1200000
73,74,0.066079295,0.037474911,73,74,73,63,63,63,69,67,67,67,69,69,69,69,71,70,70,70,71,3800000
66,66,0.002202643,0.003503731,70,68,67,64,64,64,64,64,64,64,64,65,65,65,65,67,67,67,65,475000
67,70,0.004405286,0.005440794,68,62,63,59,59,59,63,61,61,61,63,62,62,62,65,63,63,63,65,800000
69,69,0.004405286,0.006441861,63,71,68,60,60,60,65,64,64,64,65,67,67,67,68,70,70,70,68,1000000
66,67,0.002202643,0.004514808,65,59,61,56,56,56,56,55,55,55,56,57,57,57,59,61,61,61,59,600000
68,75,0.004405286,0.010946658,69,66,59,68,68,68,62,65,65,65,62,62,62,62,61,55,55,55,61,1300000
60,72,0,0.002042175,65,53,49,59.8917343,59.8917343,59.8917343,61.16578678,60.82270901,60.82270901,60.82270901,61.16578678,61.086518,61.086518,61.086518,61.87652667,60.32708218,60.32708218,60.32708218,61.87652667,290000
69,71,0.013215859,0.008944526,69,64,67,59,59,59,60,60,60,60,60,61,61,61,62,65,65,65,62,1100000
63,78,0.008810573,0.009445059,76,60,55,64,64,64,63,63,63,63,63,62,62,62,60,53,53,53,60,750000
56,67,0,0.001161237,58,48,45,49,49,49,50,49,49,49,50,50,50,50,53,53,53,53,53,140000
66,76,0.008810573,0.008443993,71,49,47,59.8917343,59.8917343,59.8917343,61.16578678,60.82270901,60.82270901,60.82270901,61.16578678,61.086518,61.086518,61.086518,61.87652667,60.32708218,60.32708218,60.32708218,61.87652667,800000
63,69,0,0.003018214,64,60,51,47,47,47,49,49,49,49,49,51,51,51,51,54,54,54,51,425000
64,64,0,0.003203412,64,66,62,60,60,60,65,63,63,63,65,64,64,64,65,59,59,59,65,450000
61,63,0,0.002903092,65,45,42,61,61,61,59,60,60,60,59,59,59,59,57,51,51,51,57,325000
68,68,0.013215859,0.007442927,71,64,59,59,59,59,65,63,63,63,65,63,63,63,67,62,62,62,67,750000
73,73,0.072687225,0.028465316,75,73,70,66,66,66,69,68,68,68,69,69,69,69,70,70,70,70,70,3000000
63,74,0.002202643,0.00446976,64,68,64,62,62,62,63,64,64,64,63,64,64,64,63,64,64,64,63,625000
72,77,0.037444934,0.023071754,71,70,68,72,72,72,66,69,69,69,66,64,64,64,64,57,57,57,64,4200000
73,73,0.028634361,0.026963716,70,73,65,65,65,65,66,65,65,65,66,66,66,66,67,69,69,69,67,3400000
63,63,0,0.000325346,68,66,40,59.8917343,59.8917343,59.8917343,61.16578678,60.82270901,60.82270901,60.82270901,61.16578678,61.086518,61.086518,61.086518,61.87652667,60.32708218,60.32708218,60.32708218,61.87652667,50000
70,78,0.019823789,0.024461051,73,62,66,61,61,61,65,62,62,62,65,63,63,63,67,64,64,64,67,2200000
61,69,0,0.002843028,60,51,53,56,56,56,61,60,60,60,61,61,61,61,62,59,59,59,62,375000
71,71,0.024229075,0.022458919,73,69,71,67,67,67,71,70,70,70,71,72,72,72,69,70,70,70,69,2200000
62,62,0.004405286,0.00158669,65,54,45,40,40,40,35,36,36,36,35,36,36,36,37,41,41,41,37,200000
62,71,0,0.023071754,65,54,60,62,62,62,59,60,60,60,59,58,58,58,56,51,51,51,56,450000
68,78,0.050660793,0.023071754,72,63,53,62,62,62,61,63,63,63,61,64,64,64,62,66,66,66,62,1300000
62,70,0,0.00303323,65,59,50,49,49,49,53,50,50,50,53,51,51,51,56,53,53,53,56,375000
68,69,0.008810573,0.008443993,71,64,65,62,62,62,65,63,63,63,65,63,63,63,66,64,64,64,66,850000
59,62,0,0.002162303,63,64,52,60,60,60,60,60,60,60,60,60,60,60,61,59,59,59,61,200000
63,70,0.004405286,0.005440794,71,54,56,41,41,41,37,38,38,38,37,38,38,38,41,44,44,44,41,450000
70,70,0,0.005941328,67,70,74,64,64,64,66,67,67,67,66,69,69,69,67,71,71,71,67,875000
71,78,0.019823789,0.023960518,73,58,71,59,59,59,56,57,57,57,56,56,56,56,57,57,57,57,57,2800000
55,67,0.004405286,0.001301386,70,49,27,59.8917343,59.8917343,59.8917343,61.16578678,60.82270901,60.82270901,60.82270901,61.16578678,61.086518,61.086518,61.086518,61.87652667,60.32708218,60.32708218,60.32708218,61.87652667,130000
57,70,0.002202643,0.001756871,68,39,53,59.8917343,59.8917343,59.8917343,61.16578678,60.82270901,60.82270901,60.82270901,61.16578678,61.086518,61.086518,61.086518,61.87652667,60.32708218,60.32708218,60.32708218,61.87652667,160000
72,72,0,0.02596265,77,70,64,70,70,70,73,72,72,72,73,73,73,73,73,72,72,72,73,2500000
72,77,0,0.037474911,75,73,65,45,45,45,41,42,42,42,41,45,45,45,46,55,55,55,46,3400000
67,67,0.004405286,0.003688929,68,61,65,60,60,60,64,62,62,62,64,63,63,63,66,63,63,63,66,600000
69,74,0.002202643,0.008443993,67,59,62,44,44,44,44,43,43,43,44,46,46,46,49,54,54,54,49,1200000
57,68,0,0.001691802,64,51,46,51,51,51,59,56,56,56,59,55,55,55,57,50,50,50,57,180000
57,70,0.008810573,0.023071754,64,52,49,58,58,58,56,56,56,56,56,54,54,54,54,46,46,46,54,200000
56,72,0.002202643,0.023071754,65,49,39,45,45,45,51,48,48,48,51,49,49,49,52,48,48,48,52,170000
