,overall_rating,potential,wage,release_clause_euro,reactions,value
0,64,65,1000.0,801000.0,61,525000.0
1,72,72,11000.0,3200000.0,65,1800000.0
2,71,78,10000.0,7100000.0,64,3400000.0
3,72,72,33000.0,4300000.0,68,2200000.0
4,64,71,1000.0,761000.0,60,525000.0
5,59,73,1000.0,831000.0,50,350000.0
6,67,76,7000.0,2700000.0,47,1200000.0
7,73,74,31000.0,7500000.0,74,3800000.0
8,66,66,2000.0,713000.0,68,475000.0
9,67,70,3000.0,1100000.0,62,800000.0
10,69,69,3000.0,1300000.0,71,1000000.0
11,66,67,2000.0,915000.0,59,600000.0
12,68,75,3000.0,2200000.0,66,1300000.0
13,60,72,1000.0,421000.0,53,290000.0
14,69,71,7000.0,1800000.0,64,1100000.0
15,63,78,5000.0,1900000.0,60,750000.0
16,56,67,1000.0,245000.0,48,140000.0
17,66,76,5000.0,1700000.0,49,800000.0
18,63,69,1000.0,616000.0,60,425000.0
19,64,64,1000.0,653000.0,66,450000.0
20,61,63,1000.0,593000.0,45,325000.0
21,68,68,7000.0,1500000.0,64,750000.0
22,73,73,34000.0,5700000.0,73,3000000.0
23,63,74,2000.0,906000.0,68,625000.0
24,72,77,18000.0,4622436.456796832,70,4200000.0
25,73,73,14000.0,5400000.0,73,3400000.0
26,63,63,1000.0,78000.0,66,50000.0
27,70,78,10000.0,4900000.0,62,2200000.0
28,61,69,1000.0,581000.0,51,375000.0
29,71,71,12000.0,4500000.0,69,2200000.0
30,62,62,3000.0,330000.0,54,200000.0
31,62,71,1000.0,4622436.456796832,54,450000.0
32,68,78,24000.0,4622436.456796832,63,1300000.0
33,62,70,1000.0,619000.0,59,375000.0
34,68,69,5000.0,1700000.0,64,850000.0
35,59,62,1000.0,445000.0,64,200000.0
36,63,70,3000.0,1100000.0,54,450000.0
37,70,70,1000.0,1200000.0,70,875000.0
38,71,78,10000.0,4800000.0,58,2800000.0
39,55,67,3000.0,273000.0,49,130000.0
40,57,70,2000.0,364000.0,39,160000.0
41,72,72,1000.0,5200000.0,70,2500000.0
42,72,77,1000.0,7500000.0,73,3400000.0
43,67,67,3000.0,750000.0,61,600000.0
44,69,74,2000.0,1700000.0,59,1200000.0
45,57,68,1000.0,351000.0,51,180000.0
46,57,70,5000.0,4622436.456796832,52,200000.0
47,56,72,2000.0,4622436.456796832,49,170000.0
48,65,68,4000.0,819000.0,57,475000.0
49,53,61,1000.0,116000.0,55,80000.0
50,71,82,14000.0,7700000.0,66,4100000.0
51,67,67,1000.0,504000.0,65,325000.0
52,67,75,3000.0,2300000.0,66,1100000.0
53,59,69,3000.0,418000.0,56,220000.0
54,57,71,4000.0,581000.0,50,230000.0
55,66,76,2000.0,1400000.0,59,800000.0
56,71,76,21000.0,5100000.0,71,3200000.0
57,60,64,1000.0,358000.0,57,270000.0
58,64,66,2000.0,686000.0,65,450000.0
59,71,74,9000.0,3800000.0,66,2500000.0
60,65,72,3000.0,4622436.456796832,60,750000.0
61,62,77,5000.0,1600000.0,43,600000.0
62,70,74,1000.0,4300000.0,68,1900000.0
63,62,64,2000.0,398000.0,58,300000.0
64,65,66,3000.0,828000.0,60,625000.0
65,73,74,11000.0,8000000.0,78,4800000.0
66,67,67,5000.0,1300000.0,63,750000.0
67,61,77,2000.0,1400000.0,62,525000.0
68,70,70,9000.0,2600000.0,57,1300000.0
69,62,75,1000.0,984000.0,59,525000.0
70,66,75,5000.0,1600000.0,63,875000.0
71,72,73,16000.0,6200000.0,71,3500000.0
72,63,63,2000.0,438000.0,47,350000.0
73,61,68,1000.0,510000.0,55,300000.0
74,62,68,9888.37143663562,4622436.456796832,60,2481203.67102012
75,63,76,4000.0,1700000.0,59,675000.0
76,64,72,2000.0,1100000.0,48,575000.0
77,60,75,1000.0,954000.0,57,350000.0
78,68,80,7000.0,4622436.456796832,65,1600000.0
79,59,59,1000.0,233000.0,52,150000.0
80,64,68,1000.0,563000.0,58,425000.0
81,70,75,11000.0,3700000.0,64,2400000.0
82,67,77,2000.0,2100000.0,52,1000000.0
83,69,82,2000.0,4100000.0,53,2000000.0
84,52,57,1000.0,100000.0,50,70000.0
85,50,67,1000.0,94000.0,43,50000.0
