,overall_rating,potential,wage,release_clause_euro,reactions,value
0,64,65,0.0,0.003944201,61,525000.0
1,72,72,0.022026432,0.015951989,65,1800000.0
2,71,78,0.019823789,0.035472779,64,3400000.0
3,72,72,0.070484581,0.021457853,68,2200000.0
4,64,71,0.0,0.003743987,60,525000.0
5,59,73,0.0,0.00409436,50,350000.0
6,67,76,0.013215859,0.013449324,47,1200000.0
7,73,74,0.066079295,0.037474911,74,3800000.0
8,66,66,0.002202643,0.003503731,68,475000.0
9,67,70,0.004405286,0.005440794,62,800000.0
10,69,69,0.004405286,0.006441861,71,1000000.0
11,66,67,0.002202643,0.004514808,59,600000.0
12,68,75,0.004405286,0.010946658,66,1300000.0
13,60,72,0.0,0.002042175,53,290000.0
14,69,71,0.013215859,0.008944526,64,1100000.0
15,63,78,0.008810573,0.009445059,60,750000.0
16,56,67,0.0,0.001161237,48,140000.0
17,66,76,0.008810573,0.008443993,49,800000.0
18,63,69,0.0,0.003018214,60,425000.0
19,64,64,0.0,0.003203412,66,450000.0
20,61,63,0.0,0.002903092,45,325000.0
21,68,68,0.013215859,0.007442927,64,750000.0
22,73,73,0.072687225,0.028465316,73,3000000.0
23,63,74,0.002202643,0.00446976,68,625000.0
24,72,77,0.037444934,0.023071754,70,4200000.0
25,73,73,0.028634361,0.026963716,73,3400000.0
26,63,63,0.0,0.000325346,66,50000.0
27,70,78,0.019823789,0.024461051,62,2200000.0
28,61,69,0.0,0.002843028,51,375000.0
29,71,71,0.024229075,0.022458919,69,2200000.0
30,62,62,0.004405286,0.00158669,54,200000.0
31,62,71,0.0,0.023071754,54,450000.0
32,68,78,0.050660793,0.023071754,63,1300000.0
33,62,70,0.0,0.00303323,59,375000.0
34,68,69,0.008810573,0.008443993,64,850000.0
35,59,62,0.0,0.002162303,64,200000.0
36,63,70,0.004405286,0.005440794,54,450000.0
37,70,70,0.0,0.005941328,70,875000.0
38,71,78,0.019823789,0.023960518,58,2800000.0
39,55,67,0.004405286,0.001301386,49,130000.0
40,57,70,0.002202643,0.001756871,39,160000.0
41,72,72,0.0,0.02596265,70,2500000.0
42,72,77,0.0,0.037474911,73,3400000.0
43,67,67,0.004405286,0.003688929,61,600000.0
44,69,74,0.002202643,0.008443993,59,1200000.0
45,57,68,0.0,0.001691802,51,180000.0
46,57,70,0.008810573,0.023071754,52,200000.0
47,56,72,0.002202643,0.023071754,49,170000.0
48,65,68,0.00660793,0.004034297,57,475000.0
49,53,61,0.0,0.000515549,55,80000.0
50,71,82,0.028634361,0.038475977,66,4100000.0
51,67,67,0.0,0.002457617,65,325000.0
52,67,75,0.004405286,0.011447191,66,1100000.0
53,59,69,0.004405286,0.002027159,56,220000.0
54,57,71,0.00660793,0.002843028,50,230000.0
55,66,76,0.002202643,0.006942394,59,800000.0
56,71,76,0.044052863,0.025462117,71,3200000.0
57,60,64,0.0,0.001726839,57,270000.0
58,64,66,0.002202643,0.003368588,65,450000.0
59,71,74,0.017621145,0.018955187,66,2500000.0
60,65,72,0.004405286,0.023071754,60,750000.0
61,62,77,0.008810573,0.00794346,43,600000.0
62,70,74,0.0,0.021457853,68,1900000.0
63,62,64,0.002202643,0.001927052,58,300000.0
64,65,66,0.004405286,0.004079345,60,625000.0
65,73,74,0.022026432,0.039977576,78,4800000.0
66,67,67,0.008810573,0.006441861,63,750000.0
67,61,77,0.002202643,0.006942394,62,525000.0
