age,height_cm,weight_kgs,nationality,overall_rating,potential,wage,preferred_foot,international_reputation(1-5),weak_foot(1-5),skill_moves(1-5),body_type,release_clause_euro,club_team,club_rating,club_position,club_jersey_number,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,freekick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,composure,marking,standing_tackle,sliding_tackle,GK_diving,GK_handling,GK_kicking,GK_positioning,GK_reflexes,LS,ST,RS,LW,LF,CF,RF,RW,LAM,CAM,RAM,LM,LCM,CM,RCM,RM,LWB,LDM,CDM,RDM,RWB,LB,LCB,CB,RCB,RB,position_first,position_second,position_third,upper_work_rate,down_work_rate,num_of_work_rate,value
26,1.7272,73.9,22,64,65,0,1,1,3,3,5,0.003944201,228,63,28,7,54,60,42,57,57,70,48,36,41,68,85,83,79,61,80,66,47,53,61,61,30,49,64,54,58,57,40,50,55,15,14,9,10,8,64,64,64,67,66,66,66,67,65,65,65,65,58,58,58,65,59,53,53,53,59,58,52,52,52,58,7,11,0,1,3,0.333333333,525000
32,1.8796,79.8,76,72,72,0.022026432,1,2,3,2,3,0.015951989,144,73,28,33,22,16,76,55,23,49,31,18,55,55,44,53,59,65,55,59,85,30,77,24,76,67,33,28,34,74,74,73,72,12,11,5,5,14,48,48,48,44,46,46,46,44,46,46,46,45,50,50,50,45,56,63,63,63,56,60,73,73,73,60,1,0,0,2,3,0.666666667,1800000
24,1.7526,68,118,71,78,0.019823789,1,1,3,3,3,0.035472779,477,70,27,24,48,72,67,58,56,73,36,33,40,71,93,91,88,64,85,63,70,76,65,53,52,28,73,62,66,67,50,28,22,15,10,13,12,12,71,71,71,71,72,72,72,71,69,69,69,70,60,60,60,70,55,50,50,50,55,53,49,49,49,53,14,7,0,1,3,0.333333333,3400000
31,1.8796,83,44,72,72,0.070484581,0,1,3,3,5,0.021457853,400,72,15,3,66,53,68,66,33,70,66,53,60,69,66,66,69,68,55,64,70,82,76,57,61,71,65,52,49,57,73,73,72,11,13,15,6,12,65,65,65,66,66,66,66,66,65,65,65,67,67,67,67,67,72,70,70,70,72,72,72,72,72,72,6,9,0,1,1,1,2200000
24,1.7526,74.8,80,64,71,0,1,1,3,2,3,0.003743987,277,64,23,22,60,36,48,59,45,64,62,49,53,65,70,75,71,60,70,60,71,82,60,46,57,55,43,42,33,49,63,55,58,9,10,9,15,7,55,55,55,59,57,57,57,59,57,57,57,61,58,58,58,61,64,60,60,60,64,63,60,60,60,63,13,11,0,3,3,1,525000
21,1.7526,78.9,44,59,73,0,1,1,3,2,3,0.00409436,12,63,24,41,25,64,47,54,36,61,48,26,24,59,68,66,68,50,66,59,69,58,54,52,33,11,63,41,62,62,31,17,21,12,6,12,9,8,60,60,60,58,59,59,59,58,57,57,57,55,48,48,48,55,41,37,37,37,41,39,36,36,36,39,14,0,0,1,2,0.5,350000
23,1.7272,72.1,45,67,76,0.013215859,0,1,3,3,5,0.013449324,482,77,21,33,64,63,55,64,56,72,62,42,53,70,85,79,88,47,81,71,71,72,54,64,70,26,65,63,58,60,30,20,21,8,9,7,5,7,66,66,66,69,68,68,68,69,68,68,68,68,60,60,60,68,52,48,48,48,52,49,42,42,42,49,0,14,11,3,3,1,1200000
27,1.5494,73.9,9,73,74,0.066079295,1,1,3,3,5,0.037474911,596,73,28,2,74,34,61,69,32,73,72,60,69,70,77,85,72,74,71,61,72,72,68,57,72,67,67,65,52,73,71,73,74,14,13,10,7,9,63,63,63,69,67,67,67,69,69,69,69,71,70,70,70,71,74,72,72,72,74,74,72,72,72,74,10,13,11,3,3,1,3800000
31,1.8542,74.8,118,66,66,0.002202643,0,1,3,3,3,0.003503731,184,70,28,16,65,55,65,70,51,64,66,60,67,68,57,55,62,68,64,68,51,65,77,59,78,67,55,66,59,67,60,65,65,14,8,16,12,7,64,64,64,64,64,64,64,64,65,65,65,65,67,67,67,65,66,69,69,69,66,66,68,68,68,66,6,2,7,3,3,1,475000
26,1.8288,78.9,39,67,70,0.004405286,1,1,3,3,5,0.005440794,407,68,17,22,69,40,55,61,42,64,64,48,60,65,74,70,72,62,73,58,67,82,65,47,62,63,59,59,30,63,63,65,63,13,7,15,13,12,59,59,59,63,61,61,61,63,62,62,62,65,63,63,63,65,68,65,65,65,68,67,64,64,64,67,10,13,0,3,3,1,800000
30,1.8288,74.8,136,69,69,0.004405286,0,1,3,2,3,0.006441861,323,63,28,12,65,42,50,70,54,61,70,58,70,67,69,65,71,71,60,52,36,83,70,59,87,69,65,72,58,68,55,63,61,5,5,5,5,5,60,60,60,65,64,64,64,65,67,67,67,68,70,70,70,68,69,70,70,70,69,67,65,65,65,67,4,2,0,3,3,1,1000000
27,1.8542,87.1,57,66,67,0.002202643,1,1,3,2,7,0.004514808,1,65,19,6,62,40,62,64,26,54,39,35,62,59,54,55,54,59,60,65,74,78,85,45,83,61,44,58,42,61,62,68,65,10,14,7,14,7,56,56,56,56,55,55,55,56,57,57,57,59,61,61,61,59,64,67,67,67,64,65,69,69,69,65,2,0,0,1,1,1,600000
21,1.8288,78,150,68,75,0.004405286,1,1,3,3,5,0.010946658,317,69,28,21,30,66,68,62,57,66,32,25,48,65,71,66,68,66,59,75,60,63,70,54,76,18,67,41,60,59,20,13,18,12,11,8,8,7,68,68,68,62,65,65,65,62,62,62,62,61,55,55,55,61,44,45,45,45,44,42,42,42,42,42,14,0,0,1,3,0.333333333,1300000
21,1.8796,79.8,8,60,72,0,1,1,2,1,5,0.002042175,24,65,28,1,14,8,13,29,10,10,14,14,22,12,30,30,32,53,32,23,60,28,63,10,25,15,7,42,12,49,8,14,12,57,61,57,60,61,59.8917343,59.8917343,59.8917343,61.16578678,60.82270901,60.82270901,60.82270901,61.16578678,61.086518,61.086518,61.086518,61.87652667,60.32708218,60.32708218,60.32708218,61.87652667,59.67457253,58.9429517,58.9429517,58.9429517,59.67457253,58.97068789,57.72161374,57.72161374,57.72161374,58.97068789,5,0,0,3,3,1,290000
27,1.8796,78.9,9,69,71,0.013215859,1,1,3,2,3,0.008944526,185,69,2,19,46,49,58,64,35,58,47,42,60,63,63,66,63,64,62,53,53,94,76,54,77,70,55,60,44,67,69,70,68,12,12,10,8,13,59,59,59,60,60,60,60,60,61,61,61,62,65,65,65,62,68,70,70,70,68,68,70,70,70,68,2,5,2,3,1,3,1100000
18,1.7018,71.2,118,63,78,0.008810573,1,1,3,2,7,0.009445059,574,76,28,61,39,64,64,55,44,57,50,41,42,58,85,82,85,60,89,60,63,55,52,56,38,13,65,56,62,55,18,23,15,11,11,13,12,9,64,64,64,63,63,63,63,63,62,62,62,60,53,53,53,60,44,40,40,40,44,42,37,37,37,42,14,0,0,1,2,0.5,750000
22,1.905,76.2,118,56,67,0,1,1,2,2,3,0.001161237,664,58,17,2,53,35,62,54,43,55,51,45,51,57,40,61,51,48,44,42,50,70,60,36,48,51,39,46,52,45,53,58,55,10,9,13,8,16,49,49,49,50,49,49,49,50,50,50,50,53,53,53,53,53,57,56,56,56,57,57,57,57,57,57,1,0,0,3,3,1,140000
23,1.8288,64.9,44,66,76,0.008810573,1,1,3,1,5,0.008443993,565,71,21,28,20,13,20,25,19,17,13,18,21,26,40,44,36,49,67,26,58,33,76,14,20,20,12,29,28,47,14,21,16,69,65,67,66,69,59.8917343,59.8917343,59.8917343,61.16578678,60.82270901,60.82270901,60.82270901,61.16578678,61.086518,61.086518,61.086518,61.87652667,60.32708218,60.32708218,60.32708218,61.87652667,59.67457253,58.9429517,58.9429517,58.9429517,59.67457253,58.97068789,57.72161374,57.72161374,57.72161374,58.97068789,5,0,0,3,3,1,800000
25,1.8288,79.8,131,63,69,0,1,1,3,2,5,0.003018214,277,64,18,16,27,30,53,58,27,51,28,26,56,54,62,64,62,60,58,30,87,56,64,24,81,66,36,47,39,51,62,60,57,10,5,12,13,9,47,47,47,49,49,49,49,49,51,51,51,51,54,54,54,51,57,62,62,62,57,58,64,64,64,58,1,0,0,3,3,1,425000
29,1.8542,78.9,103,64,64,0,1,1,3,4,5,0.003203412,649,64,28,8,62,48,44,60,61,65,73,63,61,63,82,76,80,66,59,58,54,65,61,62,40,21,55,60,60,62,26,23,44,13,14,7,12,16,60,60,60,65,63,63,63,65,64,64,64,65,59,59,59,65,53,48,48,48,53,51,41,41,41,51,7,11,8,3,2,1.5,450000
25,1.5494,74.8,53,61,63,0,1,1,3,2,3,0.002903092,625,65,28,25,41,63,57,51,63,62,48,56,36,60,71,59,64,45,55,58,61,62,73,59,32,18,61,56,61,42,31,21,19,14,5,9,13,14,61,61,61,59,60,60,60,59,59,59,59,57,51,51,51,57,43,41,41,41,43,41,39,39,39,41,14,0,0,3,3,1,325000
27,1.524,68.9,128,68,68,0.013215859,1,1,4,3,3,0.007442927,106,71,21,52,73,40,46,70,42,66,62,43,53,65,84,75,65,64,71,52,54,59,63,35,59,62,67,52,49,59,68,69,67,16,10,8,11,15,59,59,59,65,63,63,63,65,63,63,63,67,62,62,62,67,69,65,65,65,69,69,65,65,65,69,10,0,0,3,3,1,750000
29,1.7526,68,57,73,73,0.072687225,0,1,2,3,3,0.028465316,318,75,7,15,71,53,58,70,52,68,71,65,67,70,75,69,73,73,76,72,76,77,60,64,67,73,62,65,74,70,72,71,72,14,12,8,8,12,66,66,66,69,68,68,68,69,69,69,69,70,70,70,70,70,73,72,72,72,73,73,70,70,70,73,9,6,0,3,3,1,3000000
21,1.8288,77.1,39,63,74,0.002202643,1,1,3,3,5,0.00446976,216,64,19,38,44,53,55,64,64,63,64,41,56,67,66,66,72,68,66,56,68,67,63,49,50,52,66,60,45,64,55,65,53,14,9,14,11,6,62,62,62,63,64,64,64,63,64,64,64,63,64,64,64,63,61,62,62,62,61,61,60,60,60,61,4,0,0,1,3,0.333333333,625000
23,1.9304,79.8,33,72,77,0.037444934,1,1,2,3,3,0.023071754,359,71,27,18,44,72,76,58,66,66,44,44,38,68,68,67,58,70,44,74,72,64,76,58,66,26,77,50,62,68,20,22,18,10,15,15,9,14,72,72,72,66,69,69,69,66,64,64,64,64,57,57,57,64,48,46,46,46,48,46,46,46,46,46,14,0,0,3,3,1,4200000
28,1.8288,81.2,57,73,73,0.028634361,0,1,3,2,5,0.026963716,252,70,10,5,69,38,73,73,49,59,78,83,65,67,72,76,73,73,66,80,87,79,78,69,73,68,57,66,67,65,75,76,69,14,9,14,10,11,65,65,65,66,65,65,65,66,66,66,66,67,69,69,69,67,73,73,73,73,73,74,75,75,75,74,2,2,0,3,3,1,3400000
36,1.8796,84.8,57,63,63,0,1,1,3,1,5,0.000325346,519,68,28,1,15,12,20,24,12,13,14,11,23,22,40,47,38,66,31,23,64,30,71,13,37,16,14,28,22,40,16,11,11,62,64,35,64,64,59.8917343,59.8917343,59.8917343,61.16578678,60.82270901,60.82270901,60.82270901,61.16578678,61.086518,61.086518,61.086518,61.87652667,60.32708218,60.32708218,60.32708218,61.87652667,59.67457253,58.9429517,58.9429517,58.9429517,59.67457253,58.97068789,57.72161374,57.72161374,57.72161374,58.97068789,5,0,0,3,3,1,50000
23,1.7526,76.2,53,70,78,0.019823789,1,1,3,3,5,0.024461051,214,73,17,25,69,40,66,69,39,72,59,38,63,70,75,73,64,62,75,55,68,70,69,47,58,64,54,48,54,66,63,70,72,12,14,8,13,11,61,61,61,65,62,62,62,65,63,63,63,67,64,64,64,67,70,67,67,67,70,70,68,68,68,70,10,13,0,1,3,0.333333333,2200000
22,1.7272,69.9,29,61,69,0,1,1,3,3,5,0.002843028,336,60,12,20,52,47,43,62,32,63,38,33,54,63,66,65,65,51,78,57,59,72,43,53,54,39,61,62,48,53,44,38,43,7,9,7,11,8,56,56,56,61,60,60,60,61,61,61,61,62,59,59,59,62,55,53,53,53,55,53,47,47,47,53,11,0,0,1,3,0.333333333,375000
31,1.7018,68,53,71,71,0.024229075,1,2,4,3,5,0.022458919,593,73,28,8,69,61,52,72,63,69,74,73,72,73,64,64,75,69,78,70,33,34,55,67,63,68,71,75,61,71,38,59,35,16,6,15,12,13,67,67,67,71,70,70,70,71,72,72,72,69,70,70,70,69,60,63,63,63,60,58,57,57,57,58,0,5,0,3,2,1.5,2200000
31,1.8542,87.1,122,62,62,0.004405286,1,1,3,2,5,0.00158669,28,65,28,25,28,20,62,45,28,28,23,27,31,44,34,31,44,54,34,36,71,58,87,16,63,60,28,27,34,45,59,62,59,9,10,6,9,11,40,40,40,35,36,36,36,35,36,36,36,37,41,41,41,37,50,54,54,54,50,53,63,63,63,53,1,0,0,3,1,3,200000
20,1.524,64,44,62,71,0,1,1,3,2,3,0.023071754,95,65,28,12,29,64,60,53,53,56,59,32,34,59,74,75,76,54,75,61,70,57,64,58,68,40,59,45,55,60,18,32,19,10,9,13,13,13,62,62,62,59,60,60,60,59,58,58,58,56,51,51,51,56,45,45,45,45,45,45,45,45,45,45,14,0,0,1,3,0.333333333,450000
21,1.8288,77.1,150,68,78,0.050660793,1,1,3,3,3,0.023071754,523,72,4,21,44,49,65,68,39,64,56,51,64,67,53,61,60,63,68,64,75,69,71,51,76,64,60,62,59,53,67,71,68,6,7,9,14,8,62,62,62,61,63,63,63,61,64,64,64,62,66,66,66,62,65,69,69,69,65,65,70,70,70,65,2,5,0,3,3,1,1300000
23,1.8542,79.8,57,62,70,0,1,1,3,2,5,0.00303323,302,65,21,19,58,26,51,55,24,57,39,20,51,50,75,69,57,59,55,46,68,68,71,27,63,58,38,45,45,50,62,65,64,8,8,12,12,6,49,49,49,53,50,50,50,53,51,51,51,56,53,53,53,56,62,60,60,60,62,63,63,63,63,63,1,3,10,3,3,1,375000
26,1.524,78.9,151,68,69,0.008810573,1,1,3,3,5,0.008443993,564,71,28,18,71,58,57,65,49,64,45,36,59,65,69,69,74,64,62,58,77,76,64,56,62,56,53,57,30,65,68,69,66,15,14,11,11,14,62,62,62,65,63,63,63,65,63,63,63,66,64,64,64,66,68,66,66,66,68,68,66,66,66,68,13,10,0,1,3,0.333333333,850000
25,1.8288,73,28,59,62,0,1,1,3,2,5,0.002162303,146,63,28,33,49,49,55,68,47,57,46,48,62,55,79,73,65,64,59,63,63,60,61,49,66,47,55,48,60,52,56,46,44,7,12,14,10,10,60,60,60,60,60,60,60,60,60,60,60,61,59,59,59,61,58,58,58,58,58,57,56,56,56,57,0,0,0,3,3,1,200000
24,1.905,82.1,28,63,70,0.004405286,1,1,2,2,5,0.005440794,295,71,8,55,28,17,59,52,25,28,29,27,40,40,53,57,52,54,56,46,69,71,86,18,69,61,21,28,38,56,59,60,61,14,7,11,15,13,41,41,41,37,38,38,38,37,38,38,38,41,44,44,44,41,54,57,57,57,54,57,63,63,63,57,1,0,0,2,1,2,450000
34,1.8288,78,29,70,70,0,1,1,3,3,3,0.005941328,59,67,28,6,64,52,59,73,50,66,59,49,70,72,58,55,62,70,52,68,63,67,70,70,72,65,62,71,58,74,64,68,62,8,6,15,9,11,64,64,64,66,67,67,67,66,69,69,69,67,71,71,71,67,67,70,70,70,67,67,68,68,68,67,4,3,0,3,3,1,875000
24,1.8288,74.8,55,71,78,0.019823789,1,1,3,2,5,0.023960518,486,73,28,4,36,43,76,59,43,52,27,29,50,63,73,73,68,58,66,54,81,71,79,33,72,66,54,43,31,71,68,71,66,6,8,14,16,15,59,59,59,56,57,57,57,56,56,56,56,57,57,57,57,57,63,65,65,65,63,66,71,71,71,66,1,0,0,3,1,3,2800000
22,1.905,74.8,44,55,67,0.004405286,1,1,2,1,3,0.001301386,101,70,21,30,13,19,11,22,18,12,11,11,24,26,40,42,30,49,57,25,54,38,56,11,24,23,15,26,25,27,9,16,12,57,56,52,52,56,59.8917343,59.8917343,59.8917343,61.16578678,60.82270901,60.82270901,60.82270901,61.16578678,61.086518,61.086518,61.086518,61.87652667,60.32708218,60.32708218,60.32708218,61.87652667,59.67457253,58.9429517,58.9429517,58.9429517,59.67457253,58.97068789,57.72161374,57.72161374,57.72161374,58.97068789,5,0,0,3,3,1,130000
22,1.905,77.1,122,57,70,0.002202643,1,1,3,1,5,0.001756871,40,68,28,13,12,6,11,15,9,10,13,11,14,11,28,33,34,39,47,13,62,18,61,6,13,7,4,21,15,53,8,8,12,61,56,51,52,64,59.8917343,59.8917343,59.8917343,61.16578678,60.82270901,60.82270901,60.82270901,61.16578678,61.086518,61.086518,61.086518,61.87652667,60.32708218,60.32708218,60.32708218,61.87652667,59.67457253,58.9429517,58.9429517,58.9429517,59.67457253,58.97068789,57.72161374,57.72161374,57.72161374,58.97068789,5,0,0,3,3,1,160000
29,1.7272,74.8,116,72,72,0,0,2,3,3,7,0.02596265,386,77,7,31,74,66,52,75,65,75,77,76,65,70,78,76,76,70,79,75,74,74,60,71,74,70,66,69,67,64,74,73,67,14,6,13,16,12,70,70,70,73,72,72,72,73,73,73,73,73,72,72,72,73,74,72,72,72,74,73,70,70,70,73,6,7,0,3,3,1,2500000
27,1.8796,78.9,146,72,77,0,1,1,3,2,5,0.037474911,206,75,28,30,21,23,73,71,24,23,20,29,75,48,58,62,48,73,50,34,65,68,72,15,68,72,20,28,37,65,70,75,72,11,14,6,7,11,45,45,45,41,42,42,42,41,45,45,45,46,55,55,55,46,62,69,69,69,62,66,72,72,72,66,1,6,3,3,3,1,3400000
29,1.8288,72.1,136,67,67,0.004405286,1,1,4,2,3,0.003688929,13,68,21,15,60,49,46,64,41,62,60,49,62,60,86,85,71,61,64,64,55,87,65,55,63,57,50,61,52,65,64,63,61,15,16,9,8,7,60,60,60,64,62,62,62,64,63,63,63,66,63,63,63,66,68,65,65,65,68,67,62,62,62,67,13,0,0,1,3,0.333333333,600000
25,1.8288,82.1,27,69,74,0.002202643,1,1,3,2,5,0.008443993,110,67,28,40,44,16,67,68,24,36,31,38,61,48,50,62,51,59,62,42,91,66,81,17,61,63,27,40,47,62,69,73,69,8,9,11,12,16,44,44,44,44,43,43,43,44,46,46,46,49,54,54,54,49,62,65,65,65,62,64,70,70,70,64,1,0,0,3,3,1,1200000
